id_movimiento,periodo,anio,mes,fuente_archivo,hoja_origen,fecha_carga,fecha_creacion,fecha_movimiento,tipo_movimiento_original,naturaleza_movimiento,categoria_movimiento,descripcion_movimiento,proveedor,documento_soporte,factura_no,cantidad,valor_unitario,valor_total,estado_registro,alerta_calidad,observacion_revision
INV-202511-000164,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 14:06:44.671,2025-11-03 14:04:52.910,Entrada - Compra,ENTRADA,COMPRA,,ALMACENES ÉXITO SA,,ID841160584,0,0,10680.0,OK,,
INV-202511-000165,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 13:52:48.929,2025-11-03 13:50:03.306,Entrada - Compra,ENTRADA,COMPRA,,ALMACENES ÉXITO SA,,ID841160580,0,0,8098.0,OK,,
INV-202511-000166,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 23:41:16.365,2025-11-02 23:40:12.038,Entrada - Compra,ENTRADA,COMPRA,,ALMACENES ÉXITO SA,,ID851161122,0,0,5741.0,OK,,
INV-202511-000167,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-05 18:26:10.255,2025-11-02 18:24:31.720,Entrada - Compra,ENTRADA,COMPRA,,PANADERÍA FRANCESPAN,,PF0211,0,0,39000.0,OK,,
INV-202511-000168,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-30 15:16:29.156,2025-11-02 15:14:26.422,Entrada - Compra,ENTRADA,COMPRA,,Grupo empresarial Giraldo´s  S.A.S,,FDAS9166,0,0,175650.0,OK,,
INV-202511-000169,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 14:27:21.999,2025-11-02 14:25:42.230,Entrada - Compra,ENTRADA,COMPRA,,PANADERÍA FRANCESPAN,,PF0211,0,0,38999.8,OK,,
INV-202511-000170,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 14:21:21.563,2025-11-02 14:18:39.248,Entrada - Compra,ENTRADA,COMPRA,,MERCAMIO SA,,CSFE77532,0,0,184746.0,OK,,
INV-202511-000171,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-24 14:20:28.722,2025-11-02 14:18:21.387,Entrada - Compra,ENTRADA,COMPRA,,QUESERA Y SALSAMENTARIA SAN FERNANDO SAS,,PO170248,0,0,66718.0,OK,,
INV-202511-000172,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 14:17:35.176,2025-11-02 14:13:06.943,Entrada - Compra,ENTRADA,COMPRA,,QUESERA Y SALSAMENTARIA SAN FERNANDO SAS,,PO170458,0,0,153800.0,OK,,
INV-202511-000173,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 14:10:39.322,2025-11-02 14:09:45.292,Entrada - Compra,ENTRADA,COMPRA,,,,,0,0,30000.0,POR VALIDAR,SOPORTE_INCOMPLETO,
INV-202511-000174,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 13:49:45.909,2025-11-02 13:48:43.980,Entrada - Compra,ENTRADA,COMPRA,,ALMACENES ÉXITO SA,,ID841160393,0,0,5580.0,OK,,
INV-202511-000175,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 13:48:26.774,2025-11-02 13:47:27.825,Entrada - Compra,ENTRADA,COMPRA,,ALMACENES ÉXITO SA,,ID841160469,0,0,18460.0,OK,,
INV-202511-000176,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 13:43:22.137,2025-11-02 13:39:30.117,Entrada - Compra,ENTRADA,COMPRA,,ALMACENES ÉXITO SA,,ID851161146,0,0,103610.0,OK,,
INV-202511-000177,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 13:37:25.063,2025-11-02 13:36:40.999,Entrada - Compra,ENTRADA,COMPRA,,KOLBITOS SAS,,3FE29063,0,0,5000.0,OK,,
INV-202511-000178,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 15:11:12.519,2025-11-01 15:08:18.774,Entrada - Compra,ENTRADA,COMPRA,,WINE&CO SAS,,WV5539,0,0,185400.0,OK,,
INV-202511-000179,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 14:29:57.140,2025-11-01 14:27:26.871,Entrada - Compra,ENTRADA,COMPRA,,PANADERÍA FRANCESPAN,,PF0111,0,0,10000.0,OK,,
INV-202511-000180,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-25 14:22:47.266,2025-11-01 14:21:36.909,Entrada - Compra,ENTRADA,COMPRA,,PESQUERA VALLEMAR SAS,,PELV14090,0,0,101900.0,OK,,
